Tissue ID,DNA_ID,Temporary Name,Accession Number,Parent or offspring? (P/O),Species,Extracted?,Diluted and PCRs run?,MP1 Amplified?,MP2 Amplified?,MP3 Amplified?,Notes,Date of Collection,Longitude,Latitude,DBH(cm),DBH 2(cm),DBH 3(cm),DBH 4 (cm),Notes
UHA-0351,SH-Q3275,QUMU-MT18,549-82*5,P,Q. muehlenbergii,No tissue,,,,,,05/06/24,-88.065622,41.814004,49.1,,,,
UHA-0352,SH-Q2975,,NA,P,Q. alba,X,X,X,X,X,,06/08/23,-88.0647,41.816869,58.3,,,,"Two others near this one, come back to it"
UHA-0353,SH-Q2976,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/08/23,-88.06464,41.816713,86.5,,,,
UHA-0354,SH-Q2974,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/08/23,-88.06459,41.816609,75.8,,,,
UHA-0355,SH-Q3145,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06451,41.81648,83.9,,,,
UHA-0356,SH-Q3146,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06439,41.816623,NA,,,,"new UHA assigned, UHA-0512"
UHA-0357,SH-Q3147,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06454,41.816754,56.2,,,,
UHA-0358,SH-Q3148,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06445,41.816729,21.3,,,,
UHA-0359,SH-Q3149,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06443,41.816754,52,,,,
UHA-0360,SH-Q3150,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.0644,41.816808,NA,,,,"New UHA's assigned, three trees in the area: UHA-0509, UHA-0510, UHA-0511"
UHA-0361,SH-Q3151,,NA,P,Q. alba,X,,,,,,06/08/23,-88.0643,41.816827,74.3,,,,"Better coordinates: (41.8168108, -88.0642447)"
UHA-0362,SH-Q3152,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06424,41.81692,66.2,,,,
UHA-0363,SH-Q3153,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06436,41.816998,78.9,,,,
UHA-0364,NA,,NA,P,Q. alba,No tissue,,,,,,06/08/23,-88.06442,41.817207,51.5,,,,No tissue!
UHA-0365,SH-Q3155,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06457,41.817268,72.2,,,,
UHA-0366,SH-Q3156,,NA,P,Q. macrocarpa,X,,,,,,06/08/23,-88.06451,41.817313,39.7,,,,
UHA-0367,SH-Q3157,,NA,P,Q. alba,X,,,,,,06/08/23,-88.064561,41.817726,82.7,,,,
UHA-0368,SH-Q3158,,NA,P,Q. alba,X,,,,,,06/08/23,-88.06448,41.817737,52.3,,,,
UHA-0369,SH-Q3159,,NA,P,Q. alba,X,,,,,,06/08/23,-88.06423,41.817718,NA,,,,Not found (7/9/24 ME)
UHA-0370,SH-Q3160,,NA,P,Q. alba,X,,,,,,06/12/23,-88.0642,41.817939,79.1,,,,
UHA-0371,SH-Q3161,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06406,41.817675,64.2,,,,
UHA-0372,SH-Q3162,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06411,41.817596,21.8,,,,
UHA-0373,SH-Q3163,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06411,41.817565,16.4,,,,
UHA-0374,SH-Q3164,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06409,41.817508,NA,,,,"Possibly two different trees, new UHA's assigned UHA-0480 and UHA-0481"
UHA-0375,SH-Q3165,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06399,41.81746,17.7,,,,
UHA-0376,SH-Q3166,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06393,41.817468,31,,,,
UHA-0377,SH-Q3167,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06384,41.817421,NA,,,,"Possibly two different trees, new UHA's assigned (UHA-0480 and UHA-0481)"
UHA-0378,SH-Q3168,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06389,41.817349,86.3,,,,
UHA-0379,SH-Q3154,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06374,41.817496,NA,,,,"Three trees where there should have been two, assigned new UHA"
UHA-0380,SH-Q3169,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06365,41.81752,28.9,,,,
UHA-0381,SH-Q3170,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06365,41.817544,30.1,,,,
UHA-0382,SH-Q3171,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06371,41.817476,NA,,,,"Three trees where there should have been two, assigned new UHA (UHA-0477, UHA-0478, UHA-0479)"
UHA-0383,SH-Q3172,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06361,41.817641,52.1,,,,
UHA-0384,SH-Q3173,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06366,41.81772,67.7,,,,
UHA-0385,SH-Q3174,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06371,41.817699,43.4,,,,
UHA-0386,SH-Q3175,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06349,41.817588,NA,,,,Does not exist at this lat/long
UHA-0387,SH-Q3176,,NA,P,Q. alba,X,,,,,,06/12/23,-88.0636,41.817741,74.5,,,,"Another tree next to this one, probably outside sample range"
UHA-0388,SH-Q3177,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06357,41.817834,61.1,,,,
UHA-0389,SH-Q3178,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06376,41.817836,50.2,,,,
UHA-0390,SH-Q3179,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06376,41.817961,57.1,,,,
UHA-0391,SH-Q3180,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06385,41.817913,52.4,,,,
UHA-0392,SH-Q3181,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06367,41.817336,76.1,,,,
UHA-0393,SH-Q3182,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06375,41.817302,71.5,,,,
UHA-0394,SH-Q3183,,NA,P,Q. alba,X,,,,,,06/12/23,-88.06338,41.817052,NA,,,,"Took new UHA's, no trees at this lat/long with this organization (UHA-0516)"
UHA-0395,SH-Q3184,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06334,41.817027,NA,,,,"Took new UHA's, no trees at this lat/long with this organization (UHA-0516)"
UHA-0396,SH-Q3185,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06334,41.816967,NA,,,,"Took new UHA's, no trees at this lat/long with this organization (UHA-0516)"
UHA-0397,SH-Q3186,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.0633,41.817031,NA,,,,"Took new UHA's, no trees at this lat/long with this organization (UHA-0516)"
UHA-0398,SH-Q3187,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06335,41.816836,65.3,,,,
UHA-0399,SH-Q3188,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.0661538,41.8171599,92.9,,,,"Old coords: (41.817021,-88.066352)"
UHA-0400,SH-Q3189,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06377,41.816928,,,,,"Assigned new UHA, no matching trees"
UHA-0401,SH-Q3190,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.0638,41.816811,,,,,"Assigned new UHA, no matching trees"
UHA-0402,SH-Q3191,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06373,41.816748,,,,,"Assigned new UHA, no matching trees"
UHA-0403,SH-Q3192,,NA,P,Q. macrocarpa,X,,,,,,06/12/23,-88.06379,41.816833,,,,,"Assigned new UHA, no matching trees"
UHA-0404,SH-Q3193,,NA,P,Q. alba,No tissue,,,,,,06/12/23,-88.06376,41.816613,,,,,"Assigned new UHA, no matching trees"
UHA-0405,SH-Q3194,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06396,41.816576,,,,,"Assigned new UHA, no matching trees"
UHA-0406,SH-Q3195,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06401,41.81665,,,,,"Assigned new UHA, no matching trees"
UHA-0407,SH-Q3196,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06393,41.816695,,,,,"Assigned new UHA, no matching trees"
UHA-0408,SH-Q3197,,NA,P,Q. alba,,,,,,,06/12/23,-88.06401,41.81665,,,,,"Assigned new UHA, no matching trees"
UHA-0409,SH-Q3198,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06397,41.816704,,,,,"Assigned new UHA, no matching trees"
UHA-0410,SH-Q3199,,NA,P,Q. alba,,,,,,,06/12/23,-88.06401,41.816732,,,,,"Assigned new UHA, no matching trees"
UHA-0411,SH-Q3200,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06388,41.816703,,,,,"Assigned new UHA, no matching trees"
UHA-0412,SH-Q3201,,NA,P,Q. alba,,,,,,,06/12/23,-88.06394,41.816725,,,,,"Assigned new UHA, no matching trees"
UHA-0413,SH-Q3202,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06397,41.816803,,,,,"Assigned new UHA, no matching trees"
UHA-0414,SH-Q3203,,NA,P,Q. alba,,,,,,,06/12/23,-88.06388,41.816895,,,,,"Assigned new UHA, no matching trees"
UHA-0415,SH-Q3204,,NA,P,Q. alba,,,,,,,06/12/23,-88.06384,41.81706,,,,,"Assigned new UHA, no matching trees"
UHA-0416,SH-Q3205,,NA,P,Q. alba,,,,,,,06/12/23,-88.06396,41.817027,NA,,,,new UHA-0513
UHA-0417,SH-Q3206,,NA,P,Q. alba,,,,,,,06/12/23,-88.0639,41.817109,62.1,60.1,,,
UHA-0418,SH-Q3207,,NA,P,Q. alba,,,,,,,06/12/23,-88.06396,41.817178,67.9,,,,
UHA-0419,SH-Q3208,,NA,P,Q. alba,,,,,,,06/12/23,-88.06419,41.816857,59.6,,,,
UHA-0420,SH-Q3209,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06417,41.816727,58.5,,,,
UHA-0421,SH-Q3210,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06417,41.816624,50.5,,,,
UHA-0422,SH-Q3211,,NA,P,Q. alba,,,,,,,06/12/23,-88.06418,41.816514,99.1,,,,
UHA-0423,SH-Q3212,,NA,P,Q. alba,,,,,,,06/12/23,-88.06416,41.816475,55.4,,,,
UHA-0424,SH-Q3213,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06434,41.816443,61.9,,,,
UHA-0425,SH-Q3214,,NA,P,Q. macrocarpa,,,,,,,06/12/23,-88.06443,41.816484,81.4,,,,
UHA-0461,SH-Q3250,,NA,P,Q. alba,,,,,,,2023-09-14,-88.06055052,41.81410261,66.7,,,,
UHA-0462,SH-Q3251,,NA,P,Q. alba,,,,,,,2023-09-14,-88.06054422,41.8139892,80.5,,,,
UHA-0463,SH-Q3252,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06052961,41.81389979,34.4,,,,
UHA-0464,SH-Q3253,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06047029,41.81373604,96.5,,,,
UHA-0465,SH-Q3254,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06058162,41.81371187,31.5,,,,
UHA-0466,SH-Q3255,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06059105,41.813456,61.4,,,,
UHA-0467,SH-Q3256,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06057382,41.81325802,119.9,,,,
UHA-0468,SH-Q3257,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06048119,41.8131454,65.2,,,,
UHA-0469,SH-Q3258,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06041357,41.81338574,79.2,,,,
UHA-0470,SH-Q3259,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.0603423,41.8134267,72.2,,,,
UHA-0471,SH-Q3260,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06024449,41.81361455,74.6,,,,
UHA-0472,SH-Q3261,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.0602524,41.8132696,65.4,,,,
UHA-0473,SH-Q3262,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06022775,41.8132837,76.4,,,,
UHA-0474,SH-Q3263,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.06001685,41.81384106,41.1,,,,
UHA-0475,SH-Q3264,,NA,P,Q. macrocarpa,,,,,,,2023-09-14,-88.05988183,41.81384017,91.9,,,,
UHA-0476,SH-Q3958,,122-88*1,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0714096,41.8145509,68.7,37.2,,,
UHA-0477,SH-Q3959,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0636392,41.8174632,26.2,,,,
UHA-0478,SH-Q3960,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0636744,41.8174734,32.9,,,,
UHA-0479,SH-Q3961,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0636972,41.8174385,37.3,,,,
UHA-0480,SH-Q3962,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0638149,41.817445,43.2,,,,
UHA-0481,SH-Q3963,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0638411,41.817393,42.5,,,,
UHA-0482,SH-Q3964,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0647885,41.8171279,68.4,,,,
UHA-0483,SH-Q3965,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0651178,41.8170839,83.6,,,,
UHA-0484,SH-Q3966,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.065277,41.8170956,92,,,,UHA-0347
UHA-0485,SH-Q3967,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0654755,41.817264,74.2,,,,
UHA-0486,SH-Q3968,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0654433,41.8172236,66.8,,,,
UHA-0487,SH-Q3969,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0660388,41.8170422,87.7,,,,
UHA-0488,SH-Q3970,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0659955,41.8170394,89.5,,,,
UHA-0489,SH-Q3971,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0658661,41.8171216,85.5,,,,
UHA-0490,SH-Q3972,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0657786,41.8171244,79.2,,,,
UHA-0491,SH-Q3973,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0657179,41.8171171,78.1,,,,
UHA-0492,SH-Q3974,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0649082,41.8167418,74.2,,,,
UHA-0493,SH-Q3975,,NA,P,Q. muehlenbergii,,,,,,,2024-07-09,-88.0644724,41.8170699,94.5,,,,
UHA-0494,SH-Q3976,,NA,P,Q. bicolor,,,,,,,2024-07-11,-88.065488,41.8172798,74.6,,,,UHA-0283
UHA-0495,SH-Q3977,,NA,P,Q. alba,,,,,,,2024-07-11,-88.0654353,41.8172273,66.5,,,,UHA-0283
UHA-0496,SH-Q3978,,NA,P,Q. alba,,,,,,,2024-07-11,-88.0658467,41.8174829,84.6,,,,UHA-0342
UHA-0497,SH-Q3979,,NA,P,Q. alba,,,,,,,2024-07-11,-88.06579826,41.81764784,64.8,,,,UHA-0287
UHA-0498,SH-Q3980,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0632389,41.8138579,65.1,48.9,,,"UHA-0324, 0325, 0326, 0327"
UHA-0499,SH-Q3981,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.063195,41.8138454,62,,,,"UHA-0324, 0325, 0326, 0327"
UHA-0500,SH-Q3982,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0632221,41.8137995,59.3,57.9,,,"UHA-0324, 0325, 0326, 0327"
UHA-0501,SH-Q3983,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0632365,41.8138057,51.2,50.4,,,"UHA-0324, 0325, 0326, 0327"
UHA-0502,SH-Q3984,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0632922,41.8138,101.5,,,,"UHA-0324, 0325, 0326, 0327"
UHA-0503,SH-Q3985,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0633093,41.8137397,45.6,,,,"UHA-0324, 0325, 0326, 0327"
UHA-0504,SH-Q3986,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.064065,41.8132645,73.4,,,,UHA-0294
UHA-0505,SH-Q3987,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0638038,41.8140461,60,,,,UHA-0310
UHA-0506,SH-Q3988,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0637267,41.814029,41.6,,,,UHA-0310
UHA-0507,SH-Q3989,,NA,P,Q. muehlenbergii,,,,,,,2024-07-12,-88.0636402,41.8139924,48.7,39.9,39.8,,UHA-0310 or UHA-0316
UHA-0508,SH-Q3990,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.064473,41.8167526,53.1,,,,UHA-0360
UHA-0509,SH-Q3991,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0643959,41.8167893,51.2,,,,UHA-0360
UHA-0510,SH-Q3992,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0643785,41.8167975,52.4,,,,UHA-0360
UHA-0511,SH-Q3993,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0644093,41.8167271,78.2,,,,UHA-0360
UHA-0512,SH-Q3994,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0643909,41.8165587,56.1,,,,UHA-0356
UHA-0513,SH-Q3995,,NA,P,Q. alba,,,,,,,2024-07-18,-88.0639413,41.8169417,47.8,,,,UHA-0416
UHA-0514,SH-Q3996,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0638598,41.8170072,63.3,,,,UHA-0415
UHA-0515,SH-Q3997,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0638649,41.8169944,59.8,,,,UHA-0415
UHA-0516,SH-Q3998,,NA,P,Q. alba,,,,,,,2024-07-18,-88.0633968,41.8170077,74.7,,,,"UHA-0394, UHA-0395, UHA-0396, UHA-0397"
UHA-0517,SH-Q3999,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0635024,41.816955,53.8,,,,"no UHA here already, probably a tree that was originally too tall"
UHA-0518,SH-Q4000,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0635178,41.8169904,78.8,,,,"no UHA here already, probably a tree that was originally too tall"
UHA-0519,SH-Q4001,,NA,P,Q. alba,,,,,,,2024-07-18,-88.0637619,41.8165087,74.3,,,,UHA-0404 or UHA-0405
UHA-0520,SH-Q4002,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.063891,41.8166344,76,,,,UHA-0404 or UHA-0405
UHA-0521,SH-Q4003,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0639983,41.8166901,56.5,,,,Space between UHA-0402 and UHA-0398
UHA-0522,SH-Q4004,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0639497,41.8166976,62.1,,,,Space between UHA-0402 and UHA-0398
UHA-0523,,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0640144,41.8167176,61.3,,,,Space between UHA-0402 and UHA-0398
UHA-0524,,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.063781,41.8168248,81.9,,,,Space between UHA-0402 and UHA-0398
UHA-0525,,,NA,P,Q. alba,,,,,,,2024-07-18,-88.0638266,41.8168757,76.1,,,,Space between UHA-0402 and UHA-0398
UHA-0526,,,NA,P,Q. macrocarpa,,,,,,,2024-07-18,-88.0637304,41.8168565,51.2,,,,Space between UHA-0402 and UHA-0398
